date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-09-24,UY,12,1,,3009,1946,47,,224322
2020-09-24,UZ,514,3,,,54181,448,,
2020-09-24,VA,0,0,,,12,0,,
2020-09-24,VC,0,0,,,64,0,,
2020-09-24,VE,986,10,,,69439,574,,
2020-09-24,VG,0,0,,,71,1,,
2020-09-24,VI,12,0,,,1290,19,,
2020-09-24,VU,0,0,,,0,0,,
2020-09-24,YE,0,0,,,2033,587,,
2020-09-24,YT,0,0,,,3541,40,,
2020-09-24,ZA,1861,77,1687,0,667049,16283,595916,4064117
2020-09-24,ZM,48,0,,1705,14491,332,,146329
2020-09-24,ZW,0,0,,637,7725,227,,115254
2020-09-25,FJ,0,0,,100,32,2,,10012
2020-09-25,FR_BL,0,0,,,45,0,,
2020-09-25,FR_GUA,0,0,,,4487,42,,
2020-09-25,FR_MF,0,0,,,367,8,,
2020-09-25,FR_PM,0,0,,,16,0,,
2020-09-25,GD,0,0,,,24,0,,
2020-09-25,KI,0,0,,,0,0,,
2020-09-25,MH,0,0,,,0,0,,
2020-09-25,NA,77,2,,925,10740,119,,91902
2020-09-25,NR,0,0,,,0,0,,
2020-09-25,TK,0,0,,,0,0,,
2020-09-25,TO,0,0,,,0,0,,
2020-09-25,TV,0,0,,,0,0,,
2020-09-25,WF,0,0,,,0,0,,
2020-09-25,WS,0,0,,,0,0,,
2020-09-25,XK,63,0,,,15290,606,,
2020-09-24,AR_B,1745,3,,0,370394,11454,,0
2020-09-24,AR_B_805,28,0,,0,10078,270,,0
2020-09-25,GB_WLS,2,0,,10854,22215,1609,,731961
2020-09-23,MX_NLE,32,5,,,37132,2914,,
2020-09-23,MX_NLE_19046,1,0,,,3206,321,,
2020-09-26,JP_01,0,0,,,2010,107,,
2020-09-26,JP_02,0,0,,,35,1,,
2020-09-26,JP_03,0,0,,,23,0,,
2020-09-26,JP_04,0,0,,,385,2,,
2020-09-26,JP_05,0,0,,,50,0,,
2020-09-26,JP_06,0,0,,,78,1,,
2020-09-26,JP_07,0,0,,,242,2,,
2020-09-26,JP_08,0,0,,,632,17,,
2020-09-26,JP_09,0,0,,,425,1,,
2020-09-26,JP_10,0,0,,,696,19,,
2020-09-26,JP_11,0,0,,,4518,99,,
2020-09-26,JP_12,0,0,,,3731,70,,
2020-09-26,JP_13,0,0,,,24843,399,,
2020-09-26,JP_14,0,0,,,6582,136,,
2020-09-26,JP_15,0,0,,,168,0,,
2020-09-26,JP_16,0,0,,,411,25,,
2020-09-26,JP_17,0,0,,,771,46,,
2020-09-26,JP_18,0,0,,,244,10,,
2020-09-26,JP_19,0,0,,,178,6,,
2020-09-26,JP_20,0,0,,,303,1,,
2020-09-26,JP_21,0,0,,,611,10,,
2020-09-26,JP_22,0,0,,,525,2,,
2020-09-26,JP_23,0,0,,,5219,83,,
2020-09-26,JP_24,0,0,,,482,7,,
2020-09-26,JP_25,0,0,,,486,8,,
2020-09-26,JP_26,0,0,,,1715,25,,
2020-09-26,JP_27,0,0,,,10333,200,,
2020-09-26,JP_28,0,0,,,2636,59,,
2020-09-26,JP_29,0,0,,,545,9,,
2020-09-26,JP_30,0,0,,,238,4,,
2020-09-26,JP_31,0,0,,,35,0,,
2020-09-26,JP_32,0,0,,,140,0,,
2020-09-26,JP_33,0,0,,,149,1,,
2020-09-26,JP_34,0,0,,,497,3,,
2020-09-26,JP_35,0,0,,,193,2,,
2020-09-26,JP_36,0,0,,,147,9,,
2020-09-26,JP_37,0,0,,,94,2,,
2020-09-26,JP_38,0,0,,,114,6,,
2020-09-26,JP_39,0,0,,,137,4,,
2020-09-26,JP_40,0,0,,,5002,95,,
2020-09-26,JP_41,0,0,,,242,0,,
2020-09-26,JP_42,0,0,,,236,3,,
2020-09-26,JP_43,0,0,,,571,8,,
2020-09-26,JP_44,0,0,,,158,2,,
2020-09-26,JP_45,0,0,,,365,1,,
2020-09-26,JP_46,0,0,,,400,12,,
2020-09-26,JP_47,0,0,,,2389,45,,
2020-09-25,GB_NIR,189,0,,7410,10223,577,,465761
2020-09-24,GB_NIR_N09000010,25,,,,815,,,
2020-09-24,AR_B_077,2,0,,0,319,10,,0
2020-09-24,AR_M,206,1,,0,20461,371,,0
2020-09-23,AR_M_119,51,0,,0,672,4,,0
2020-09-09,KR_28,5,0,,,806,2,,
2020-09-24,AR_D,65,0,,0,991,7,,0
2020-09-24,AR_D_035,19,0,,0,243,0,,0
2020-09-24,US_WA,555,0,,2397,88597,2175,,1743296
2020-09-24,US_WA_53061,11,0,,,7955,222,,
2020-04-25,CN_AH,0,0,1,,991,6,985,
2020-07-16,CN_BJ,0,0,23,,929,9,752,
2020-07-15,CN_CQ,1,0,1,,583,6,576,
2020-07-15,CN_GD,0,0,2,,1650,8,1636,
2020-04-02,CN_GX,0,0,2,,254,2,252,
2020-04-19,CN_GZ,1,0,1,,147,2,145,
2020-04-14,CN_HA,0,0,1,,1276,22,1254,
2020-06-05,CN_HB,0,0,3,,68135,4512,63623,
2020-06-26,CN_HI,0,0,2,,171,6,165,
2020-06-03,CN_HL,2,0,2,,947,13,934,
2020-04-18,CN_HN,0,0,1,,1019,4,1015,
2020-06-07,CN_JL,0,0,3,,155,2,153,
2020-06-03,CN_JX,-5,0,-5,,932,1,931,
2020-07-12,CN_LN,2,0,0,,164,2,150,
2020-03-16,CN_NX,0,0,2,,75,0,75,
2020-07-16,CN_SC,0,0,1,,599,3,590,
2020-07-13,CN_SD,1,0,0,,793,7,785,
2020-07-16,CN_SH,1,0,1,,732,7,691,
2020-07-15,CN_SX,1,0,0,,201,0,198,
2020-07-12,CN_TJ,4,0,0,,203,3,195,
2020-07-15,CN_TW,0,0,2,,451,7,440,
